397,Vancouver,45.638728,-122.661486,PDX,120
398,Olympia,47.037874,-122.900695,SEA,100
399,Bellingham,48.751911,-122.478685,BLI,100
400,Yakima,46.602071,-120.505898,YKM,90
401,Wenatchee,47.42346,-120.310349,EAT,100
402,Walla Walla,46.064581,-118.343021,ALW,110
403,Charleston,38.34982,-81.632623,CRW,100
404,Huntington,38.41925,-82.445154,HTS,90
405,Morgantown,39.629526,-79.955896,MGW,90
406,Parkersburg,39.266742,-81.561513,PKB,90
407,Wheeling,40.064312,-80.72144,HLG,90
408,Milwaukee,43.038902,-87.906471,MKE,130
409,Madison,43.073052,-89.40123,MSN,120
410,Green Bay,44.513319,-88.013296,GRB,120
411,La Crosse,43.8014,-91.2396,LSE,120
412,Eau Claire,44.8113,-91.4985,EAU,110
413,Appleton,44.2619,-88.4156,ATW,130
414,Oshkosh,44.0247,-88.5426,OSH,110
415,Wisconsin Dells,43.6275,-89.7713,DLL,130
416,Wausau,44.9592,-89.6301,AUW,120
417,Sheboygan,43.7508,-87.7145,SBM,130
418,Cheyenne,41.1399,-104.8203,CYS,130
419,Laramie,41.3114,-105.5911,LAR,110
420,Casper,42.8508,-106.3257,CPR,120
421,Jackson,43.4799,-110.7624,JAC,190
422,Cody,44.5236,-109.0575,COD,130
423,Gillette,44.2905,-105.5011,GCC,120
424,Green River,41.5286,-109.4653,RVR,110
425,Sheridan,44.7972,-106.9567,SHR,120
426,Rock Springs,41.5875,-109.2029,RKS,110
427,Evanston,41.2683,-110.9632,EVW,110
